"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.94945088978757e-240,0.829055043835817,0.689,0.422,1.57978035591503e-236,"9","PLP2"
4.08662955278512e-237,1.16988721230319,0.449,0.223,1.63465182111405e-233,"9","CD82"
2.46969942238544e-235,1.34468131619245,0.333,0.14,9.87879768954176e-232,"9","NAMPT"
4.49524357170563e-235,0.946577478763827,0.634,0.386,1.79809742868225e-231,"9","IDS"
5.10133989979248e-235,1.12604608757366,0.386,0.174,2.04053595991699e-231,"9","JMJD6"
2.55207917941932e-234,1.52755746312419,0.254,0.092,1.02083167176773e-230,"9","SLC16A3"
2.41189280277955e-232,1.41387313877034,0.26,0.095,9.64757121111818e-229,"9","PFKFB3"
5.82645959500447e-232,1.27280697402673,0.313,0.127,2.33058383800179e-228,"9","IL21R"
3.24266041475548e-227,0.896892944644724,0.562,0.311,1.29706416590219e-223,"9","TNFRSF1B"
1.77921313106527e-225,0.651384964629934,0.802,0.54,7.11685252426109e-222,"9","COTL1"
1.59703398075151e-220,1.23898584879082,0.31,0.127,6.38813592300605e-217,"9","ZC3H12A"
5.18071046923962e-220,1.01061882801849,0.523,0.287,2.07228418769585e-216,"9","CLDND1"
2.38340217323872e-219,0.986997694264743,0.59,0.353,9.53360869295488e-216,"9","CACYBP"
4.19843018133215e-218,0.795426160144936,0.861,0.679,1.67937207253286e-214,"9","CXCR4"
1.09369446784787e-216,1.39094763913046,0.403,0.202,4.37477787139148e-213,"9","YWHAH"
2.28424822277138e-211,1.13922467357211,0.371,0.173,9.1369928910855e-208,"9","YIPF5"
4.55940443199174e-211,0.924808570388322,0.511,0.274,1.8237617727967e-207,"9","PDE3B"
2.77193792266939e-209,1.33023580736475,0.301,0.127,1.10877516906776e-205,"9","NEU1"
5.70004638115291e-209,1.08401801412743,0.327,0.141,2.28001855246116e-205,"9","KPNA2"
1.49008077293852e-208,1.10365884096662,0.402,0.196,5.96032309175407e-205,"9","JAML"
4.2714113359205e-208,0.458717098516554,0.942,0.672,1.7085645343682e-204,"9","MTRNR2L12"
1.00506290890479e-205,0.896932439186632,0.626,0.394,4.02025163561914e-202,"9","CD6"
5.34686524066765e-204,1.36646428036124,0.264,0.104,2.13874609626706e-200,"9","AGO2"
1.67727229592565e-203,1.12653775319209,0.38,0.182,6.7090891837026e-200,"9","P2RY10"
3.08577478774978e-203,0.872801194323433,0.532,0.298,1.23430991509991e-199,"9","RNF19A"
4.02352090232442e-203,1.13743755660108,0.405,0.201,1.60940836092977e-199,"9","AHSA1"
4.39293855506202e-203,0.688093261749461,0.735,0.494,1.75717542202481e-199,"9","MCL1"
4.09248043158695e-200,0.965080502063235,0.453,0.235,1.63699217263478e-196,"9","SLBP"
2.16348892848113e-199,1.11542617016667,0.314,0.136,8.65395571392451e-196,"9","FAM118A"
3.59368343448525e-199,1.13359329318463,0.364,0.172,1.4374733737941e-195,"9","B3GNT2"
2.11962629903415e-198,0.766356058393903,0.629,0.385,8.47850519613661e-195,"9","DNAJB6"
1.23389398053135e-197,1.25016195726331,0.356,0.171,4.93557592212538e-194,"9","NINJ1"
9.89599055674538e-194,1.23982210853085,0.275,0.112,3.95839622269815e-190,"9","KDM6B"
9.28733896128229e-193,1.10488040289698,0.367,0.176,3.71493558451292e-189,"9","BIRC2"
6.75698305184892e-191,0.527605829986899,0.682,0.422,2.70279322073957e-187,"9","YPEL5"
1.9787638103797e-190,0.811743952922809,0.522,0.29,7.91505524151881e-187,"9","TUBB4B"
5.7180769849036e-189,0.77866789282563,0.683,0.454,2.28723079396144e-185,"9","PDCD4"
9.43357532172379e-187,1.09461395520528,0.427,0.228,3.77343012868952e-183,"9","RHBDD2"
1.67831689407991e-183,1.3318761023229,0.293,0.13,6.71326757631963e-180,"9","TRAF1"
6.9406148314107e-181,0.486846646835315,0.963,0.86,2.77624593256428e-177,"9","CD74"
1.75423394651e-179,1.2258787278741,0.257,0.105,7.01693578604e-176,"9","JOSD1"
5.71405842861379e-176,0.664489832756423,0.844,0.676,2.28562337144552e-172,"9","CD2"
3.56158228775635e-169,0.615334510863771,0.78,0.572,1.42463291510254e-165,"9","H2AFZ"
7.87739682065012e-166,1.03240673311315,0.43,0.238,3.15095872826005e-162,"9","GLUD1"
6.7296307793419e-160,0.621998736678629,0.447,0.26,2.69185231173676e-156,"9","MT1X"
8.18302494128652e-160,1.13585919940202,0.308,0.148,3.27320997651461e-156,"9","SEC14L1"
1.55539755876298e-159,1.03191597069632,0.262,0.113,6.22159023505193e-156,"9","SKIL"
2.48893089257019e-159,0.800617164795597,0.443,0.243,9.95572357028075e-156,"9","ARID5A"
6.56487789345259e-159,0.734607021448167,0.658,0.453,2.62595115738104e-155,"9","PRDX1"
9.33519143797835e-159,0.917543958519626,0.463,0.264,3.73407657519134e-155,"9","SRRT"
7.33966244990755e-157,1.10170638381553,0.295,0.138,2.93586497996302e-153,"9","PLEKHA2"
8.8137847034913e-157,1.1412295820952,0.254,0.11,3.52551388139652e-153,"9","EIF1AY"
2.12360121074451e-153,0.718671486685227,0.674,0.476,8.49440484297804e-150,"9","ITM2A"
7.28433963172758e-152,1.06244609273968,0.338,0.17,2.91373585269103e-148,"9","FAM102A"
2.02346156748941e-150,0.851293955393449,0.369,0.193,8.09384626995764e-147,"9","EIF4A3"
9.56486736640658e-149,0.550418900288731,0.703,0.481,3.82594694656263e-145,"9","SELENOK"
7.77166577495974e-147,0.847648532673987,0.433,0.247,3.1086663099839e-143,"9","SLA"
2.83937254097652e-146,1.03496207726443,0.274,0.131,1.13574901639061e-142,"9","MT1E"
1.33866220317924e-145,0.977321274029268,0.37,0.198,5.35464881271694e-142,"9","MAT2A"
2.61319931201296e-143,0.903526779791853,0.404,0.225,1.04527972480518e-139,"9","SERPINB9"
2.65252269732549e-143,0.751865611881453,0.468,0.272,1.0610090789302e-139,"9","LYST"
4.80160024232401e-143,0.720271477386432,0.488,0.288,1.9206400969296e-139,"9","CXCR3"
5.75804091561986e-142,0.770295097463411,0.493,0.297,2.30321636624795e-138,"9","PTPN22"
5.00327806238981e-141,0.459610608750728,0.755,0.526,2.00131122495593e-137,"9","DUSP2"
1.04928641000721e-140,0.902852337562999,0.365,0.195,4.19714564002884e-137,"9","EVI2A"
2.95889984429101e-139,0.946406394926495,0.331,0.17,1.1835599377164e-135,"9","MTHFD2"
1.20352836347572e-137,0.800253496411635,0.414,0.233,4.8141134539029e-134,"9","PDE4B"
2.97381420892213e-137,0.666734763042529,0.314,0.152,1.18952568356885e-133,"9","MTRNR2L8"
4.97689130374764e-136,0.685534905435521,0.656,0.461,1.99075652149906e-132,"9","ALOX5AP"
1.36951256277798e-135,1.01569936716721,0.291,0.142,5.47805025111192e-132,"9","MARCKSL1"
2.84969849988752e-135,0.938869766598136,0.3,0.149,1.13987939995501e-131,"9","PAF1"
3.6078846613044e-135,0.909727459274781,0.4,0.226,1.44315386452176e-131,"9","PRNP"
2.45774380913035e-128,0.536674130636241,0.666,0.457,9.83097523652141e-125,"9","BRD2"
2.16219070110311e-127,0.962577498457042,0.421,0.255,8.64876280441245e-124,"9","GYG1"
6.66722389230076e-126,1.27526712296246,0.427,0.275,2.6668895569203e-122,"9","MYADM"
3.37677857155425e-125,0.833258706504616,0.286,0.142,1.3507114286217e-121,"9","PHLDA1"
3.37464381782037e-124,0.745870228935413,0.388,0.218,1.34985752712815e-120,"9","ISCA1"
1.08703899710845e-123,0.928405177515285,0.597,0.457,4.34815598843379e-120,"9","ADGRE5"
4.03531274142453e-123,0.83104683784275,0.341,0.183,1.61412509656981e-119,"9","PTMS"
1.61938959737902e-121,0.54185312122135,0.624,0.423,6.47755838951607e-118,"9","HERPUD1"
3.21028806934077e-121,0.373101246780979,0.833,0.658,1.28411522773631e-117,"9","TPI1"
1.7227975609184e-119,0.726855815488988,0.467,0.286,6.89119024367361e-116,"9","LAG3"
5.40003028354253e-119,0.403489917836966,0.623,0.416,2.16001211341701e-115,"9","DNAJA1"
1.63722672810853e-117,0.504799022488671,0.838,0.686,6.54890691243413e-114,"9","SRSF7"
8.58591682220878e-117,0.557349714558488,0.923,0.8,3.43436672888351e-113,"9","HSP90AB1"
9.35915817041809e-117,0.804358151609969,0.406,0.241,3.74366326816724e-113,"9","ODC1"
2.92034146650654e-116,0.652143007194568,0.411,0.239,1.16813658660261e-112,"9","PDE4D"
3.40991912959064e-116,1.08480453941505,0.914,0.905,1.36396765183626e-112,"9","VIM"
1.11328895907416e-108,0.9470256756197,0.314,0.174,4.45315583629666e-105,"9","NFKB1"
4.58457903486763e-107,1.31026306971795,0.282,0.152,1.83383161394705e-103,"9","CRTAM"
8.60542418856198e-107,0.795706885732635,0.274,0.14,3.44216967542479e-103,"9","DDX3Y"
6.26467925970457e-106,0.629018111483941,0.402,0.239,2.50587170388183e-102,"9","CEBPZ"
1.74525154194628e-105,0.44333009524486,0.966,0.899,6.98100616778514e-102,"9","HSPA8"
5.13861675143986e-104,0.868202282744816,0.327,0.186,2.05544670057594e-100,"9","CHORDC1"
9.12307703188052e-103,0.735812489807936,0.457,0.295,3.64923081275221e-99,"9","IL2RB"
2.61824758285788e-102,0.935442370839302,0.266,0.139,1.04729903314315e-98,"9","TYMP"
4.4528102046616e-101,0.708533900641038,0.405,0.247,1.78112408186464e-97,"9","TSPYL2"
9.75563172826832e-101,0.635124285512783,0.386,0.228,3.90225269130733e-97,"9","BNIP3L"
6.12964403427273e-100,1.06152707919608,0.302,0.17,2.45185761370909e-96,"9","CARS"
2.29055841109741e-98,0.982669593982149,0.312,0.18,9.16223364438963e-95,"9","MT1F"
1.01178157905014e-95,0.690260903058466,0.579,0.408,4.04712631620057e-92,"9","GZMB"
1.7799715790827e-95,0.394073343219389,0.795,0.622,7.11988631633082e-92,"9","LEPROTL1"
4.72889050361211e-94,0.671987019925106,0.579,0.413,1.89155620144484e-90,"9","ANXA2"
1.39136048602875e-93,0.894462491747679,0.271,0.148,5.56544194411501e-90,"9","GALM"
4.66963076698786e-93,0.463989953866759,0.575,0.386,1.86785230679515e-89,"9","CDK2AP2"
1.452564885803e-91,0.774133615774273,0.25,0.131,5.81025954321201e-88,"9","DNAAF2"
2.42445167229062e-91,0.956188291125535,0.282,0.159,9.69780668916246e-88,"9","EOMES"
1.50888923455275e-90,0.759278922579742,0.298,0.168,6.035556938211e-87,"9","RAB9A"
1.49285972940522e-89,0.660115888524818,0.364,0.22,5.97143891762087e-86,"9","ZBTB1"
