IFNG
PRF1
GZMA
GZMB
GNLY
RORC
TBX21
CX3CR1
RORA
ZEB2
KLRG1
1D2
PRDM1
BHLHE40
TOX
ENTPD1
BATF
LAG3
TIGID
TOX2
PDCD1
TRIB1
CTLA4
1D3
CCR7
SELL
CXCR3
LEF1
TCF7
ZEB1
CD28
